id,phase,phase_name,priority,status,title,required_work,source_or_register,acceptance
CA-01-01,1,Cashout and release baseline,P0,Concurrent fix awaiting acceptance,Departure ordering,"Trace the merged cashout eviction outcome through leave, kick, sit-out expiry and shutdown; prove departure cannot precede a confirmed disposition.",server/src/engine/ServerTableEngineBase.ts,Reject/timeout/lost-response and concurrent leave/kick tests; normal deployed engine runs the tested commit.
CA-01-02,1,Cashout and release baseline,P0,Needs audit,Cashout business identity,"Bind one durable operation ID to player, club, table, seat generation, currency and amount across retries.",src/services/WalletService.ts,Same request returns the original receipt; changed payload is rejected; duplicate requests never credit twice.
CA-01-03,1,Cashout and release baseline,P0,Needs audit,Seat and escrow ownership,"Trace stack, committed bets, side pots and escrow at every departure boundary.",server/src/engine/ServerTableEngineSettlement.ts,"Conservation before and after departure with an active hand, all-in, disconnect and seat reuse."
CA-01-04,1,Cashout and release baseline,P1,Needs audit,Release provenance,"Map each scoped fix to migration, merged source, test evidence and actual adopted runtime.",docs/CLUB-ARENA-12-PHASE-AUDIT.md,"Separate database, static frontend and engine versions; no pending adoption marked complete."
CA-01-05,1,Cashout and release baseline,P1,Needs audit,Original requirement register,Recover the original 216-requirement register and cross-map its actual identifiers.,docs/CLUB-ARENA-12-PHASE-AUDIT.md,Every original requirement has evidence or an explicit open status; do not reconstruct invented IDs.
CA-01-06,1,Cashout and release baseline,P1,Needs audit,Obsolete candidate changes,Keep superseded hand-commit and dedicated rebuy-receipt branches out of deployment.,docs/CLUB-ARENA-12-PHASE-AUDIT.md,Deployment ancestry excludes superseded alternatives and uses the shared canonical protocols.
CA-02-01,2,Poker rules and fairness,P0,Needs audit,Legal action authority,"Review server legality for check, call, bet, raise, fold and all-in for every supported variant.",server/src/engine/HandController.ts,"Adversarial clients cannot act out of turn, spend beyond stack or bypass betting limits."
CA-02-02,2,Poker rules and fairness,P0,Needs audit,Short all-in reopening,Verify minimum raise and reopening rights across multiple short all-ins.,server/src/engine/HandController.ts,Table-driven rule examples cover intervening action and cumulative raises.
CA-02-03,2,Poker rules and fairness,P0,Needs audit,Side pots and eligibility,"Review contribution grouping, folded players, refunds of unmatched bets and zero-stack seats.",server/src/engine/HandController.ts,Independent expected allocations balance exactly for multiway all-ins and folds.
CA-02-04,2,Poker rules and fairness,P0,Needs audit,Split and odd-chip allocation,"Review ties, high-low qualification, multiple boards and odd-chip priority.",server/src/engine/VariantRules.ts,Exact smallest-unit conservation; deterministic rule-correct allocation on every board.
CA-02-05,2,Poker rules and fairness,P1,Needs audit,Blinds and position,"Review heads-up transitions, dead buttons, missed blinds, straddles and new seats.",server/src/engine/HandController.ts,Position and blind obligations remain correct through departures and table merges.
CA-02-06,2,Poker rules and fairness,P0,Needs audit,Variant rule matrix,"Enumerate configured variants and trace evaluator, deck and betting rules per variant.",server/src/engine/VariantRules.ts,Every selectable variant has independent evaluation vectors and full hand tests.
CA-02-07,2,Poker rules and fairness,P0,Needs audit,RNG and hidden information,"Review shuffle entropy, deck uniqueness, server ownership and card access across logs, sockets and history.",server/src/engine/HandController.ts,"No duplicate cards, predictable client influence or unauthorized hole-card/deck disclosure."
CA-02-08,2,Poker rules and fairness,P1,Needs audit,Showdown and muck,"Review automatic reveal, winner disclosure, muck choices and history visibility.",server/src/engine/HandController.ts,UI and server agree on visibility; privileged and spectator paths cannot leak private cards.
CA-02-09,2,Poker rules and fairness,P1,Needs audit,Bomb pots and runouts,"Review bomb-pot scheduling, mandatory contributions, multi-board settlement and cancellation.",server/src/engine/BombPotScheduler.ts,Collection and awards remain balanced across errors and table population changes.
CA-02-10,2,Poker rules and fairness,P1,Needs audit,Decision timers,"Review timeout actions, time banks and clock authority through reconnect and maintenance.",server/src/engine/HandController.ts,One authoritative action occurs at deadline; stale timers cannot act on a new hand.
CA-03-01,3,"Tournaments, SNGs, Spins and satellites",P0,Needs audit,Entry and re-entry,"Trace registration, late registration, rebuy and addon through wallet debit, prize allocation and seat creation.",live-rpc-register.csv,Atomic failure injection and concurrent retry tests prove one funded entry per operation.
CA-03-02,3,"Tournaments, SNGs, Spins and satellites",P0,Needs audit,Bounty PKO accounting,"Trace entry bounty split, knockout allocation, progressive carry and final winner disposition.",page-and-tab-register.csv,"Prize, fee and bounty liabilities reconcile algebraically within each committed operation."
CA-03-03,3,"Tournaments, SNGs, Spins and satellites",P0,Needs audit,Mystery bounty commitments,"Review funded award inventory, eligibility, random draw, reveal and retry identity.",live-rpc-register.csv,One funded award per eligible draw; retries cannot reroll or consume multiple awards.
CA-03-04,3,"Tournaments, SNGs, Spins and satellites",P0,Needs audit,Payout plan authority,"Review current canonical payout plan, rank finalization and idempotent awards; recheck concurrent fixes before opening defects.",live-rpc-register.csv,No partial completion; each recipient and retained liability matches the immutable approved plan.
CA-03-05,3,"Tournaments, SNGs, Spins and satellites",P0,Needs audit,Disabled tournament safeguards,Explain all seven disabled triggers and prove replacement invariants and authorized retirement.,live-trigger-register.csv,Each disabled guard has replacement evidence or a tested source correction; no blind re-enabling.
CA-03-06,3,"Tournaments, SNGs, Spins and satellites",P0,Needs audit,Deals and final table completion,"Review deal acceptance, participant binding, chip-based calculations and post-deal completion.",live-rpc-register.csv,All required consents match one versioned plan; no double payout or mutable finalized pool.
CA-03-07,3,"Tournaments, SNGs, Spins and satellites",P0,Needs audit,Guarantees and overlays,"Review funding source, fee separation, minimum entries and guarantee changes.",live-rpc-register.csv,Every overlay is funded and journaled; published commitments cannot silently change.
CA-03-08,3,"Tournaments, SNGs, Spins and satellites",P0,Needs audit,Spin multiplier and prizes,"Review draw commitment, multiplier persistence, funding and restart behavior.",existing-repair-debt-register.csv,A started game has one funded immutable prize; retry and outage cannot redraw.
CA-03-09,3,"Tournaments, SNGs, Spins and satellites",P1,Needs audit,Tournament seating and clocks,"Review balancing, table merges, breaks, blind levels, heads-up transitions and duplicate seats.",page-and-tab-register.csv,Concurrent moves preserve one seat per entry and one authoritative tournament clock.
CA-03-10,3,"Tournaments, SNGs, Spins and satellites",P0,Needs audit,Satellite awards and ticket liabilities,"Review the hardened funding path plus ticket mint, ownership, redemption and award completion.",live-rpc-register.csv,Tickets and underlying liabilities are created/redeemed once with recipient and tournament binding.
CA-03-11,3,"Tournaments, SNGs, Spins and satellites",P0,Needs audit,"Unregister, cancellation and outage",Review approved pre-start unregister and common origin-wallet refund; inspect cancellation and interrupted-event policy.,docs/CLUB-ARENA-12-PHASE-AUDIT.md,Refunds return once to the proper origin; no invented satellite refund subsystem.
CA-03-12,3,"Tournaments, SNGs, Spins and satellites",P1,Needs audit,Tournament client wiring,Exercise all create/edit/register/rebuy/addon/deal/results pages and permission states.,page-and-tab-register.csv,"Displayed options, server acceptance and persisted state agree for MTT, SNG and Spins."
CA-04-01,4,"Cashier, wallets, tickets and issuance",P0,Confirmed boundary gap,Legacy agent self-transfer routing,Replace active legacy wallet-pool self-transfer with club-scoped canonical self-stake after identity and ownership mapping.,src/services/WalletService.ts,Both AgentPortalPage and AgentFinancialPortal use agents.user_id/club identity correctly and canonical balances; no guessed historical balance migration.
CA-04-02,4,"Cashier, wallets, tickets and issuance",P0,Confirmed boundary gap,Agent transfer retry identity,Move AgentService.transferToPlayer operation creation to the durable business intent and validate finite amount and strict receipt.,src/services/AgentService.ts,"Lost response, reload and repeated submit reuse the same key; altered payload and malformed success cannot credit."
CA-04-03,4,"Cashier, wallets, tickets and issuance",P0,Needs audit,Global wallet writer inventory,"Trace every balance-writing RPC, trigger, service, admin script and indirect helper to an authorized journal transaction.",live-rpc-register.csv,No unregistered balance write or independently committed journal leg remains.
CA-04-04,4,"Cashier, wallets, tickets and issuance",P0,Needs audit,Accounting transaction primitive,"Verify debit, credit, journal, receipt and state transition commit together with conservation constraints.",live-rpc-register.csv,Injected failure at each statement leaves no partial state; valid retry returns the original result.
CA-04-05,4,"Cashier, wallets, tickets and issuance",P0,Needs audit,Precision and limits,"Review smallest units, numeric scale, rounding, bounds, NaN/infinity and JSON conversions per asset.",callsite-register.csv,"No floating-point loss, negative authorization bypass, overflow or cross-asset balancing."
CA-04-06,4,"Cashier, wallets, tickets and issuance",P0,Needs audit,Cashier send and take-back,"Trace player, agent, club and union send/recall paths including roles and insufficient funds.",page-and-tab-register.csv,Authorized parties only; serialized competing spends cannot overdraw or take another tenant's funds.
CA-04-07,4,"Cashier, wallets, tickets and issuance",P0,Needs audit,Cashout approvals and reversals,"Review requests, approvals, denial, cancellation and external settlement evidence.",page-and-tab-register.csv,One legal state transition and one financial disposition; external uncertainty does not cause duplicate payment.
CA-04-08,4,"Cashier, wallets, tickets and issuance",P0,Needs audit,Wallet type and tenant boundary,"Review player, business, promo, treasury and legacy global pools for every caller.",src/services/WalletService.ts,"All reads and writes agree on owner, club, asset and account purpose; retired paths are explicit."
CA-04-09,4,"Cashier, wallets, tickets and issuance",P0,Needs audit,Ticket sending and redemption,"Review issue, send, take-back, expiration, redemption and duplicate-use protection.",live-rpc-register.csv,Ownership transitions and liabilities are atomic and payload-bound; concurrent redemption succeeds once.
CA-04-10,4,"Cashier, wallets, tickets and issuance",P0,Needs audit,Chip mint and burn,"Review authorized issuance, source account, supply effects and audit actor.",live-rpc-register.csv,Every issuance or destruction has an explicit balanced journal and correct authorization.
CA-04-11,4,"Cashier, wallets, tickets and issuance",P0,Needs audit,Diamond economy,"Trace purchase, grant, spend, refund, gifting and chip conversion where supported.",page-and-tab-register.csv,Diamond and chip ledgers remain separately balanced; retries cannot repeat grants or conversion.
CA-04-12,4,"Cashier, wallets, tickets and issuance",P1,Needs audit,Cashier UI receipts,"Review pending, rejected and confirmed states and history deduplication on all cashier controls.",ui-control-register.csv,UI never announces success before an authoritative matching receipt; refresh reproduces the same outcome.
CA-05-01,5,"Rake hierarchy, BBJ and promo",P0,Needs audit,Rake calculation and caps,"Review all game-type rates, caps, eligibility, no-flop rules and smallest-unit rounding against approved configuration.",server/src/engine/ServerTableEngineSettlement.ts,Independent calculation vectors cover boundary pots and all supported table rules without changing approved economics.
CA-05-02,5,"Rake hierarchy, BBJ and promo",P0,Needs audit,Union-to-club attribution,"Trace collected rake, owning union/club and settlement period to actual treasury credits.",live-rpc-register.csv,Each hand belongs to one correct scope and period; no duplicate distribution or orphan liability.
CA-05-03,5,"Rake hierarchy, BBJ and promo",P0,Needs audit,Agent and player rake shares,"Trace club-to-agent hierarchy, subagents and player rakeback including hierarchy changes.",live-rpc-register.csv,Approved rates apply to immutable earning context; total distributions do not exceed their funded basis.
CA-05-04,5,"Rake hierarchy, BBJ and promo",P0,Needs audit,Weighted attribution versus payment,Separate contribution statistics and rewards attribution from actual rake and cash credits.,page-and-tab-register.csv,Weighted statistics cannot mint funds or generate an additional financial credit.
CA-05-05,5,"Rake hierarchy, BBJ and promo",P0,Needs audit,"BBJ main, backup and promo split",Review every collection path with main fixed at 50%; recover approved backup/promo configuration and rounding policy.,server/src/engine/ServerTableEngineSettlement.ts,All three legs commit together and sum to collection; no assumed 25/25 split.
CA-05-06,5,"Rake hierarchy, BBJ and promo",P0,Needs audit,BBJ payout and replenishment,"Review eligibility, claim approval, main payout, backup transfer and post-win pool state.",live-rpc-register.csv,One funded award; replenishment is a traceable transfer and cannot duplicate on retry.
CA-05-07,5,"Rake hierarchy, BBJ and promo",P0,Needs audit,BBJ reporting identity,"Review pool/club/union/hand labels, bucket identity and time-window reports.",live-relation-register.csv,"Reports reproduce all three correctly labeled legs, including the completed original incident correction."
CA-05-08,5,"Rake hierarchy, BBJ and promo",P0,Needs audit,Promo credits and redemption,"Review allocations, accrual, grant, expiry and spend/refund rules.",existing-repair-debt-register.csv,Promo liabilities and funding remain explicit; retries and expired eligibility cannot create free chips.
CA-05-09,5,"Rake hierarchy, BBJ and promo",P0,Needs audit,Period close and settlement,"Review union treasury close, overlapping periods, late events and repeated settlement.",live-rpc-register.csv,No event is omitted or paid twice; immutable period ownership and journal evidence survive retry.
CA-05-10,5,"Rake hierarchy, BBJ and promo",P1,Needs audit,Retire repair dependencies,Work through all 32 existing allowlist entries after their source invariants are proven.,existing-repair-debt-register.csv,Allowlist only shrinks; retire obsolete repair jobs without replacing them with renamed watchers.
CA-06-01,6,"Identity, authorization and tenant security",P0,Needs audit,Security-definer RPC review,"Review bodies, fixed search paths, caller checks and grants for 426 observed definer overloads.",live-rpc-register.csv,"Untrusted callers cannot impersonate owners, choose unauthorized tenants or invoke privileged helpers."
CA-06-02,6,"Identity, authorization and tenant security",P0,Needs audit,Anonymous callable RPCs,Classify and adversarially test the 21 observed anon-executable overloads.,live-rpc-register.csv,Public exposure is intentional and minimum-privilege; catalog exposure alone is not labeled an exploit.
CA-06-03,6,"Identity, authorization and tenant security",P0,Needs audit,RLS policy correctness,Review all policies and role combinations on the 179 observed relations plus indirect dependencies.,live-relation-register.csv,Cross-tenant read/write attempts fail; service-role paths independently enforce business authorization.
CA-06-04,6,"Identity, authorization and tenant security",P0,Needs audit,Session and account lifecycle,"Review sign-in, refresh, logout, revocation, role changes and account deletion.",page-and-tab-register.csv,Revoked sessions and stale role caches cannot retain sensitive access.
CA-06-05,6,"Identity, authorization and tenant security",P0,Needs audit,Endpoint and socket authorization,Trace all 28 server router branches plus dynamic/API/socket entrypoints.,server-dispatch-register.csv,"Every command authenticates scope, actor and current authority; no trusted client financial fields."
