# Every ACTIVE pg_cron job on production, from fn_ca_cron_health().
# Regenerated by scripts/ci/anchor-cron-roster.mjs on Cron Health's existing schedule.
# A change here is a change to what this platform runs on a timer. Never edit a
# line to make a check pass: tests/the-scheduled-work-roster-is-pinned.law.test.ts
# pins the count, and the count is supposed to be argued about.
# observed_at: 2026-09-24T02:47:08Z
# active: 121
# retained-inactive: 2	the two bust sweeps, restored disabled by 20260910073355
# 2026-09-20: 135 -> 132. union-seat-provenance-heal, ca-bbj-repair-unbanked-15m
# and reconcile-club-table-counts-nightly were retired by migration
# three_watchers_whose_defects_were_fixed_stop_running, because the writer that
# replaced each one is universal. The argument is in that migration's header.
# 2026-09-23: 132 -> 133. ca-crash-settle-abandoned-minute was scheduled by
# migration an_abandoned_crash_round_settles_itself. It is another owner's
# work and is listed here, not judged here.
# 2026-09-24: 133 -> 121. Twelve compensation jobs retired by migrations
# eleven_compensation_jobs_whose_writers_are_correct_stop_running and
# the_incident_tick_that_repairs_nothing_stops_running, each because the
# writer it compensated for is correct at its source and its candidate set
# has been empty for days. The argument is in those headers. Originally
# measured 2026-09-22: 132 -> 121.
# (2026-09-22 note, superseded by the line above) 132 -> 121. ca-redrive-unbanked-rake-15m, rake-repair-unbanked-hourly,
# ca-union-rake-attribution-hourly, ca-bounty-backpay-hourly, ca-payout-sweep-hourly,
# spin_repair_missing_multiplier, spin_sweep_unbooked,
# ca-spin-return-unawarded-draws-15m, ca-promo-accrual-retry-10m,
# ca-post-commit-orphan-drain-10m and ca-pgrst-reload-if-stale are retired by
# migration 20260922155223_eleven_compensation_jobs_whose_writers_are_correct_stop_running,
# because the writer each one compensated for is correct at its source. The
# argument is in that migration's header. The observed_at above is when
# fn_ca_cron_health() was read, and it returned 132 jobs, identical to the
# previous body; this body is that reading minus those eleven rows, which is
# what production holds once that migration is applied.
# jobname	schedule
bbj-rollup-catchup	45 * * * *
ca-alarm-drill-weekly	7 11 * * 1
ca-bbj-threshold-notify-5m	*/5 * * * *
ca-break-scorecard	12 * * * *
ca-burnin-gate-hourly	58 * * * *
ca-cash-pot-conservation-hourly	34 */6 * * *
ca-collusion-daily	20 4 * * *
ca-conservation-sweep-hourly	52 * * * *
ca-crash-settle-abandoned-minute	* * * * *
ca-cron-health-30m	7,37 * * * *
ca-daily-attestation	10 6 * * *
ca-diamond-economy-watch-daily	25 6 * * *
ca-diamond-health-watch-hourly	35 * * * *
ca-diamond-prune-history-daily	40 6 * * *
ca-diamond-rule-flip-daily	50 6 * * *
ca-diamond-snapshot-hourly	10 * * * *
ca-diamond-trial-balance-hourly	20 * * * *
ca-duel-pairing-daily	35 4 * * *
ca-duplicate-structure-payout-hourly	37 * * * *
ca-escalate-reconcile-criticals-hourly	52 * * * *
ca-escrow-shadow-hourly	35 * * * *
ca-escrow-ttl-sweep-10m	*/10 * * * *
ca-freeze-mark-post	0 * * * *
ca-freeze-mark-pre	55 * * * *
ca-guard-defs-hourly	25 * * * *
ca-guard-integrity-daily	15 * * * *
ca-hand-facts-prune-daily	40 5 * * *
ca-horse-claim-due-minute	* * * * *
ca-incident-escalation-tick	* * * * *
ca-ledger-chain-verify-daily	35 4 * * *
ca-ledger-day-manifest	25 4 * * *
ca-ledger-replay-nightly	40 6 * * *
ca-mint-velocity-5m	*/5 * * * *
ca-money-rpc-drift-daily	25 5 * * *
ca-negative-balance-watch-10m	*/10 * * * *
ca-op-claims-prune-daily	45 5 * * *
ca-orphaned-checks-daily	18 6 * * *
ca-pay-backed-payout-shortfalls-hourly	26 * * * *
ca-payout-guarantee-check-hourly	18 * * * *
ca-quick-reconcile-5m	*/10 * * * *
ca-ratchet-watch-hourly	35 * * * *
ca-resolve-cleared-incidents-hourly	23 * * * *
ca-resolve-settled-alerts-20m	4,24,44 * * * *
ca-results-without-a-hand-6h	46 */6 * * *
ca-revenue-digest-weekly	0 13 * * 1
ca-settlement-correctness-30m	15 * * * *
ca-stats-witness-audit-15m	9,24,39,54 * * * *
ca-supply-snapshot-hourly	5 * * * *
ca-suspense-regression-15m	*/15 * * * *
ca-tournament-conservation-10m	*/10 * * * *
ca-tournament-finished-not-completed-5m	*/5 * * * *
ca-trial-balance-hourly	20 * * * *
ca-uncollected-entry-check-hourly	47 * * * *
cleanup-hole-cards	0 */6 * * *
club-rake-rollup-catchup	25 * * * *
cron-history-retention-daily	35 6 * * *
daily-missions-outbox-minute	* * * * *
daily-missions-outbox-minute-s1	* * * * *
daily-missions-outbox-minute-s2	* * * * *
daily-missions-outbox-minute-s3	* * * * *
daily-missions-reset-alerts-0002-utc	2 0 * * *
daily-missions-retention-daily	23 5 * * *
daily-missions-reward-expiry	7 0 * * *
db-saturation-selftest	7,37 * * * *
diamond-spin-daily-settlement	5 5,6 * * *
flag-garbage-tournaments	15 3 * * *
game-management-events-retention	17 4 * * *
hand-history-compact	0,5,10,15,20,25,30,35,40,45,50,55 * * * *
hand-history-compact-vacuum	2,12,22,32,42,52 * * * *
home-game-auto-complete	17 * * * *
home-game-recap-prompt	0 10 * * *
home-game-reminders-6h-1h	*/15 * * * *
home-games-recurring-generate	0 5 * * *
home-group-stale-sweep	0 2 * * *
home-groups-quality-refresh	0 4 * * *
home-groups-vitality-refresh	15 4 * * *
home-host-pending-nudge	0 9 * * *
home-member-strike-decay	30 4 * * *
home-trending-refresh	*/15 * * * *
home-view-log-prune	0 3 * * *
home-weekly-snapshots	30 0 * * 1
index-usage-snapshot-daily	41 */2 * * *
index-usage-snapshot-prune-daily	17 5 * * *
leaderboard-payout-waterfall-daily	20 0 * * *
managed-game-schedules-minute	* * * * *
pgrst-reload-watchdog	6,21,36,51 * * * *
pnm-locations-refresh	*/30 * * * *
prune-ca-hand-facts	17 * * * *
prune_idempotency_keys	0 * * * *
rake-attribution-drift-audit-hourly	47 * * * *
rake-bbj-invariant-audit-hourly	38 * * * *
rake-law-adherence-hourly	40 * * * *
rake-law-wide-daily	50 7 * * *
rate-limit-prune	17 3 * * *
reconcile-club-member-daily-profit	35 0 * * *
reconcile-ledger-integrity-6h	55 */6 * * *
reconcile-tournament-denormals	* * * * *
refresh-player-stats-hourly	17 * * * *
resolve-friend-challenges	*/15 * * * *
snapshot-player-stats	5 0 * * *
sp-prune-hand-discards	7,37 * * * *
sp-prune-rabbit-hunt-offers	9,39 * * * *
sp_prune_ca_settlements_10m	7,17,27,37,47 * * * *
sp_prune_hand_history_10m	3,13,23,33,43,53 * * * *
sp_prune_hand_state_snapshots_2m	1-59/2 * * * *
sp_refresh_pending_families	17 9 * * *
sp_resolve_settled_prize_alerts_15m	9,24,39 * * * *
sp_upcoming_tournament_pushes	* * * * *
spin_chip_conservation_hourly	49 * * * *
spin_fairness_check_hourly	44 * * * *
spin_unpaid_check	50 * * * *
tournament_rake_settlement_check_hourly	19 * * * *
tourney_money_conservation_deep_daily	25 3 * * *
tourney_money_conservation_hourly	12 * * * *
tourney_payout_sweep_detect_daily	40 2 * * *
training_leaderboard_refresh_every_5m	*/5 * * * *
ungated-money-rpc-check	15 4 * * *
union-integrity-sweep	35 * * * *
union-law-selftest	20 0 * * *
union-rake-rollup-catchup	55 * * * *
union-weekly-rakeback-close	0,30 * * * *
