id,flow,client_or_engine,database_or_dependency,source_destination_or_meaning,status,remaining_acceptance
U01,"Union creation, settings and admins",UnionService; UnionApiService,/api/club-arena/manage-union,Authority and configuration; no gameplay chips created by rate edit,Client traced; World Hub dependency deferred,Owner/admin denial; stale sessions; concurrent updates; audit actor
U02,"Club apply, approve, join and leave",UnionApiService; UnionClubGovernance,union-application; fn_union_club_exit_blockers; fn_union_expel_club,"Membership must retain wallets, outstanding debt and statements",Caller inventory; backend boundaries outstanding,Pending seats/entries/credit/settlement; approval identity; no orphan obligation
U03,Union bank to club bank and return,UnionWalletModal; unionWalletRoutes; UnionApiService,fn_union_send_to_club_atomic; fn_union_clawback_from_club,union_wallets.chip_balance <-> clubs.chip_treasury,Routing read; transaction/replay proof outstanding,Source/destination and amount bound; balance lock; balanced journal; lost response
U04,Union promo to club promo and return,UnionWalletModal; unionWalletRoutes; UnionApiService,promoSend; fn_union_clawback_promo_from_club,union promo <-> club promo; ordinary chips per approved rules,Routing read; bank reconciliation outstanding,Promo receipts and journal; no draw from club bank; no invented playthrough
U05,Union bank/rake/BBJ/promo/spin reserve wallet switching,unionWalletRoutes,UNION_WALLET_COLUMN; clubSendRoute; clubPullRoute,Selected bank is preserved; reserve/rake are separate liabilities,Exact client mapping inspected,"All tabs, failed transport, amount validation, no misleading balance increment"
U06,Union manual send to member,UnionWalletModal,fn_union_send_to_member,Selected union bank -> correct member account/asset,Live signature/ACL snapshotted,Payload-bound replay; per-target authorization; receipt rollback
C01,"Club bank send, claim, reverse and staff pull",WalletCashierModal; CashierPage; CashoutService,fn_club_bank_send; fn_club_bank_claim_back; fn_club_bank_reverse; fn_admin_remove_player_chips,club treasury <-> authorized agent/player/promo wallet,Prior route map reconciled; full current behavior pending,Role matrix; funds; take-back window; immutable reversal source; concurrent spend
A01,"Create, promote, suspend, reparent and assign",AgentService; UnionOpsService,fn_create_agent; fn_admin_update_agent; fn_agent_attach_player; fn_assign_agent_to_super_agent,"Membership edges/rates/credit metadata, not spendable issuance",Active callers and current rate guards read,Every upline margin and role band; no cycles; tenant isolation; dependent player deals
A02,"Agent/sub-agent send, claim and self-stake",AgentService; WalletService; cashier pages,fn_agent_wallet_send; fn_agent_wallet_claim_back; fn_agent_wallet_self_stake,agents.agent_wallet_balance/credit -> club member or lower agent wallet,Canonical client routes inventoried; separate accounting programme owns earlier receipt fix,Retry identity through reload; correct wallet receipt; both journal legs; credit draw/repay
A03,Agent promo send,WalletService; AgentPromoPanel,fn_promo_disburse; fn_promo_wallet_send,Funded promo wallet -> named downline destination,Caller inventory only,No unfunded promo issuance; actor and destination scope; replay payload
R01,Weighted rake per player,RakebackSettlerService; rakeAllocation,rake_attributions; fn_allocate_rake_credits,Statistical contribution sums exactly to collected rake,Source path traced; source provenance broader proof pending,Folded/uncalled chips; zero contributors; caps/odd cents; history matches attribution
R02,Cash commission accumulation/retry,RakebackSettlerService._runSettlementInner,fn_credit_agent_commissions_batch; credit_agent_commission_from_rake,Accrual liability only; no spendable second rake payment,Cursor fix6e3d0fc80;45 tests; proposed canonical SQL31 tests,Deploy cursor; online index; production trigger compatibility; source receipts observed
R03,Full hierarchy commission,credit_agent_commission_from_rake; calculate_cascading_commission,agent_commissions; ca_commission_contributor_receipts proposal,Per-contributor differential chain against one gross basis,Confirmed current defects; locally corrected SQL proposal,Real schema rehearsal; immutable old sources; configured margin alerts; all active edges
R04,Tournament fee attribution,fn_attribute_tournament_rake,credit_agent_commission_from_rake; apply_rakeback_player_stats,Tournament fee statistics and commission accrue once per source,Direct shared primitive traced; game lifecycle delegated to Phase3 lanes,No cash/tournament double attribution; rebuy/add-on/cancel source and total exact
S01,Union weekly close to club,UnionOpsService; RakebackSettlerService,fn_union_settlement_cascade; fn_union_weekly_rakeback_close,union rake treasury -> club share; source period immutable,Signatures/ACL and prior evidence reviewed; full concurrency outstanding,"One period, all stages, no overlap; zero shortfalls before completed"
S02,Club commission to agents,UnionOpsService; CommissionService,fn_settle_round2_club_to_agents; fn_agent_claim_commission,clubs.chip_treasury -> club_members.chip_balance; accrual obligation marked paid,Both live bodies read; competing payer scenario pending,"Claim/weekly close serialization; exact funded credit, journal and receipt; no duplicate payout"
S03,Agent rakeback to players,UnionOpsService; rakeback pages,fn_settle_round3_agents_to_players; fn_player_rakeback_rate,Agent member-wallet balance -> player wallet; negotiated/default capped rate,Live bodies read; standalone-claim concurrency pending,One payer per period; exact cents; ten-point available gap; failed credit rolls all state back
J01,"BBJ main, backup and promo",Engine/BBJ services; union/club wallet UI,bbj_pools; allocation/payout functions in inventory,Main50%; backup/promo from verified approved allocator,Setting50/25/25 observed; actual allocator not certified,Every collection/pivot/bank transfer and payout recipient reconciles; parked recipient replay
T01,"Treasury, reserve, guarantee and insurance",Union/club management; tournament managers,union_wallets; clubs; club_wallets; reserve/funding functions,Each bank/reserve has named funded source and debit/credit receipts,Cross-phase inventory; format work delegated,All reserves owned; short funds cannot mint; no counter-only liabilities
M01,"Chip issuance, retirement and diamonds",WalletService; cashier; mint helpers,ca_mint_ledger; chip_ledger; diamond paths,Asset-specific explicit issuance/conversion; no cash/tournament/diamond netting,Scope retained; specialized traces outstanding,Authorization; source asset debit; supply balance; no legacy global wallet writes
F01,"Cashier requests, escrow, tickets and refunds",CashoutService; WalletService; tournament services,chip_escrow; request/ticket/refund primitives,Wallet -> escrow/entitlement -> release/refund exactly once,Cross-phase owner boundaries retained,Approval actor; terminal transition; original wallet and asset; cancellation concurrency
P01,"Agent/union reports, statements and reconciliation",AgentRakeService; UnionOpsService; UnionService,fn_agent_roster_report; fn_agent_weekly_statement; ca_union_statement_board; reconciliation functions,Liability and statistical attribution distinguished from settled payment,Callers/schemas inventoried; end-to-end totals pending,Read failures visible; scope authorization; immutable issuer and opening balance; journal-derived totals
