id,original_phase,build_phase,owner,status,title,required_work,acceptance
CA-01-01,1,2,Codex,Concurrent fix awaiting acceptance,Departure ordering,"Trace the merged cashout eviction outcome through leave, kick, sit-out expiry and shutdown; prove departure cannot precede a confirmed disposition.",Reject/timeout/lost-response and concurrent leave/kick tests; normal deployed engine runs the tested commit.
CA-01-02,1,2,Codex,Needs audit,Cashout business identity,"Bind one durable operation ID to player, club, table, seat generation, currency and amount across retries.",Same request returns the original receipt; changed payload is rejected; duplicate requests never credit twice.
CA-01-03,1,2,Codex,Needs audit,Seat and escrow ownership,"Trace stack, committed bets, side pots and escrow at every departure boundary.","Conservation before and after departure with an active hand, all-in, disconnect and seat reuse."
CA-01-04,1,1,Codex,Needs audit,Release provenance,"Map each scoped fix to migration, merged source, test evidence and actual adopted runtime.","Separate database, static frontend and engine versions; no pending adoption marked complete."
CA-01-05,1,12,Codex,Needs audit,Original requirement register,Recover the original 216-requirement register and cross-map its actual identifiers.,Every original requirement has evidence or an explicit open status; do not reconstruct invented IDs.
CA-01-06,1,12,Codex,Needs audit,Obsolete candidate changes,Keep superseded hand-commit and dedicated rebuy-receipt branches out of deployment.,Deployment ancestry excludes superseded alternatives and uses the shared canonical protocols.
CA-02-01,2,2,Codex,Needs audit,Legal action authority,"Review server legality for check, call, bet, raise, fold and all-in for every supported variant.","Adversarial clients cannot act out of turn, spend beyond stack or bypass betting limits."
CA-02-02,2,2,Codex,Needs audit,Short all-in reopening,Verify minimum raise and reopening rights across multiple short all-ins.,Table-driven rule examples cover intervening action and cumulative raises.
CA-02-03,2,2,Codex,Needs audit,Side pots and eligibility,"Review contribution grouping, folded players, refunds of unmatched bets and zero-stack seats.",Independent expected allocations balance exactly for multiway all-ins and folds.
CA-02-04,2,2,Codex,Needs audit,Split and odd-chip allocation,"Review ties, high-low qualification, multiple boards and odd-chip priority.",Exact smallest-unit conservation; deterministic rule-correct allocation on every board.
CA-02-05,2,2,Codex,Needs audit,Blinds and position,"Review heads-up transitions, dead buttons, missed blinds, straddles and new seats.",Position and blind obligations remain correct through departures and table merges.
CA-02-06,2,2,Codex,Needs audit,Variant rule matrix,"Enumerate configured variants and trace evaluator, deck and betting rules per variant.",Every selectable variant has independent evaluation vectors and full hand tests.
CA-02-07,2,2,Codex,Needs audit,RNG and hidden information,"Review shuffle entropy, deck uniqueness, server ownership and card access across logs, sockets and history.","No duplicate cards, predictable client influence or unauthorized hole-card/deck disclosure."
CA-02-08,2,2,Codex,Needs audit,Showdown and muck,"Review automatic reveal, winner disclosure, muck choices and history visibility.",UI and server agree on visibility; privileged and spectator paths cannot leak private cards.
CA-02-09,2,2,Codex,Needs audit,Bomb pots and runouts,"Review bomb-pot scheduling, mandatory contributions, multi-board settlement and cancellation.",Collection and awards remain balanced across errors and table population changes.
CA-02-10,2,2,Codex,Needs audit,Decision timers,"Review timeout actions, time banks and clock authority through reconnect and maintenance.",One authoritative action occurs at deadline; stale timers cannot act on a new hand.
CA-03-01,3,4,Codex,Needs audit,Entry and re-entry,"Trace registration, late registration, rebuy and addon through wallet debit, prize allocation and seat creation.",Atomic failure injection and concurrent retry tests prove one funded entry per operation.
CA-03-02,3,4,Codex,Needs audit,Bounty PKO accounting,"Trace entry bounty split, knockout allocation, progressive carry and final winner disposition.","Prize, fee and bounty liabilities reconcile algebraically within each committed operation."
CA-03-03,3,4,Codex,Needs audit,Mystery bounty commitments,"Review funded award inventory, eligibility, random draw, reveal and retry identity.",One funded award per eligible draw; retries cannot reroll or consume multiple awards.
CA-03-04,3,4,Codex,Needs audit,Payout plan authority,"Review current canonical payout plan, rank finalization and idempotent awards; recheck concurrent fixes before opening defects.",No partial completion; each recipient and retained liability matches the immutable approved plan.
CA-03-05,3,4,Codex,Needs audit,Disabled tournament safeguards,Explain all seven disabled triggers and prove replacement invariants and authorized retirement.,Each disabled guard has replacement evidence or a tested source correction; no blind re-enabling.
CA-03-06,3,4,Codex,Needs audit,Deals and final table completion,"Review deal acceptance, participant binding, chip-based calculations and post-deal completion.",All required consents match one versioned plan; no double payout or mutable finalized pool.
CA-03-07,3,4,Codex,Needs audit,Guarantees and overlays,"Review funding source, fee separation, minimum entries and guarantee changes.",Every overlay is funded and journaled; published commitments cannot silently change.
CA-03-08,3,4,Codex,Needs audit,Spin multiplier and prizes,"Review draw commitment, multiplier persistence, funding and restart behavior.",A started game has one funded immutable prize; retry and outage cannot redraw.
CA-03-09,3,4,Codex,Needs audit,Tournament seating and clocks,"Review balancing, table merges, breaks, blind levels, heads-up transitions and duplicate seats.",Concurrent moves preserve one seat per entry and one authoritative tournament clock.
