definition,enabled,function_hash,function_name,table_name,trigger_name,status
CREATE TRIGGER poker_arena_no_hierarchy BEFORE INSERT OR UPDATE ON public.agent_commissions FOR EACH ROW EXECUTE FUNCTION fn_poker_reject_diamond_hierarchy(),O,49037a2bf4322d2a327bc9141a7a7a89,fn_poker_reject_diamond_hierarchy,agent_commissions,poker_arena_no_hierarchy,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_agent_commission_rollup_del AFTER DELETE ON public.agent_commissions REFERENCING OLD TABLE AS old_rows FOR EACH STATEMENT EXECUTE FUNCTION trg_agent_commission_rollup_change(),O,4ec76190867a2fe990abddeb01b8cad5,trg_agent_commission_rollup_change,agent_commissions,trg_agent_commission_rollup_del,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_agent_commission_rollup_ins AFTER INSERT ON public.agent_commissions REFERENCING NEW TABLE AS new_rows FOR EACH STATEMENT EXECUTE FUNCTION trg_agent_commission_rollup_insert(),O,50cb43eb54b7924b39c25b9816f450a0,trg_agent_commission_rollup_insert,agent_commissions,trg_agent_commission_rollup_ins,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_agent_commission_rollup_upd AFTER UPDATE ON public.agent_commissions REFERENCING OLD TABLE AS old_rows NEW TABLE AS new_rows FOR EACH STATEMENT EXECUTE FUNCTION trg_agent_commission_rollup_change(),O,4ec76190867a2fe990abddeb01b8cad5,trg_agent_commission_rollup_change,agent_commissions,trg_agent_commission_rollup_upd,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_ca_append_only BEFORE DELETE OR UPDATE ON public.agent_commissions FOR EACH ROW EXECUTE FUNCTION fn_ca_journal_append_only(),O,26088333080b714faa24e60497a460e2,fn_ca_journal_append_only,agent_commissions,trg_ca_append_only,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER guard_agent_wallet_direct_update BEFORE INSERT OR UPDATE ON public.agents FOR EACH ROW EXECUTE FUNCTION guard_agent_wallet_direct_update(),O,736aa9e92265453c3015223562108141,guard_agent_wallet_direct_update,agents,guard_agent_wallet_direct_update,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER poker_arena_no_hierarchy BEFORE INSERT OR UPDATE ON public.agents FOR EACH ROW EXECUTE FUNCTION fn_poker_reject_diamond_hierarchy(),O,49037a2bf4322d2a327bc9141a7a7a89,fn_poker_reject_diamond_hierarchy,agents,poker_arena_no_hierarchy,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_agents_commission_bounds BEFORE INSERT OR UPDATE OF commission_rate ON public.agents FOR EACH ROW EXECUTE FUNCTION fn_enforce_agent_commission_bounds(),O,3e4f5df422b121391cc40f711ae5b5ee,fn_enforce_agent_commission_bounds,agents,trg_agents_commission_bounds,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
"CREATE TRIGGER trg_agents_human_user_club_only BEFORE INSERT OR UPDATE OF club_id, user_id ON public.agents FOR EACH ROW EXECUTE FUNCTION fn_ca_reject_automated_user_club_row()",O,7c73094df30c90f94a78cbbd5d24f504,fn_ca_reject_automated_user_club_row,agents,trg_agents_human_user_club_only,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
"CREATE TRIGGER trg_agents_staff_earn_no_rakeback BEFORE INSERT OR UPDATE OF role, commission_rate, player_rakeback_rate ON public.agents FOR EACH ROW WHEN (((COALESCE(new.commission_rate, (0)::numeric) <> (0)::numeric) OR (COALESCE(new.player_rakeback_rate, (0)::numeric) <> (0)::numeric))) EXECUTE FUNCTION fn_agents_staff_earn_no_rakeback()",O,17346b77ec8f5a1d6d42dca3eb06e061,fn_agents_staff_earn_no_rakeback,agents,trg_agents_staff_earn_no_rakeback,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
"CREATE TRIGGER trg_ca_autoledger AFTER UPDATE OF agent_wallet_balance, promo_wallet_balance ON public.agents FOR EACH ROW EXECUTE FUNCTION fn_ca_autoledger('agent_wallet_balance=agent_wallet', 'promo_wallet_balance=promo_wallet')",O,2ff8923b4c2d8fd3d343cf37acce0f2c,fn_ca_autoledger,agents,trg_ca_autoledger,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
"CREATE TRIGGER trg_ca_autoledger_delete BEFORE DELETE ON public.agents FOR EACH ROW EXECUTE FUNCTION fn_ca_autoledger_delete('agent_wallet_balance=agent_wallet', 'promo_wallet_balance=promo_wallet')",O,c6d7e02df8b654fbccc3e8844418bd01,fn_ca_autoledger_delete,agents,trg_ca_autoledger_delete,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
"CREATE TRIGGER trg_ca_autoledger_insert AFTER INSERT ON public.agents FOR EACH ROW WHEN (((COALESCE(new.agent_wallet_balance, (0)::numeric) <> (0)::numeric) OR (COALESCE(new.promo_wallet_balance, (0)::numeric) <> (0)::numeric))) EXECUTE FUNCTION fn_ca_autoledger('agent_wallet_balance=agent_wallet', 'promo_wallet_balance=promo_wallet')",O,2ff8923b4c2d8fd3d343cf37acce0f2c,fn_ca_autoledger,agents,trg_ca_autoledger_insert,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_deep_stack_agents_are_protected BEFORE DELETE ON public.agents FOR EACH ROW WHEN ((old.club_id = '2a1132b9-5ba2-42e6-9f01-30a7fcffebe3'::uuid)) EXECUTE FUNCTION fn_deep_stack_society_cannot_be_deleted_by_accident(),O,213a7fa40330c703cb23dc001a99d31e,fn_deep_stack_society_cannot_be_deleted_by_accident,agents,trg_deep_stack_agents_are_protected,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_guard_retired_club_mutation BEFORE INSERT OR DELETE OR UPDATE ON public.agents FOR EACH ROW EXECUTE FUNCTION fn_guard_retired_club_mutation(),O,b82be212e7ccf2a15637c231861ff993,fn_guard_retired_club_mutation,agents,trg_guard_retired_club_mutation,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_sync_agent_wallets BEFORE UPDATE ON public.agents FOR EACH ROW EXECUTE FUNCTION sync_agent_wallet_columns(),O,3a3d351dd05b5dc13b525b7eb4635e5c,sync_agent_wallet_columns,agents,trg_sync_agent_wallets,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER autofix_attempts_touch BEFORE UPDATE ON public.autofix_attempts FOR EACH ROW EXECUTE FUNCTION autofix_attempts_touch_updated_at(),O,6ea6da59bf4e09917c59535e9c3b865c,autofix_attempts_touch_updated_at,autofix_attempts,autofix_attempts_touch,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
