file,line,marker,status
.github/workflows/ci.yml,244,TODO,"Lexical Candidate, Not A Confirmed Defect"
.github/workflows/ci.yml,244,FIXME,"Lexical Candidate, Not A Confirmed Defect"
.github/workflows/ci.yml,246,TODO,"Lexical Candidate, Not A Confirmed Defect"
.github/workflows/ci.yml,246,FIXME,"Lexical Candidate, Not A Confirmed Defect"
.github/workflows/ci.yml,248,TODO,"Lexical Candidate, Not A Confirmed Defect"
.github/workflows/ci.yml,248,FIXME,"Lexical Candidate, Not A Confirmed Defect"
.github/workflows/ci.yml,249,TODO,"Lexical Candidate, Not A Confirmed Defect"
.github/workflows/ci.yml,249,FIXME,"Lexical Candidate, Not A Confirmed Defect"
.github/workflows/ci.yml,252,TODO,"Lexical Candidate, Not A Confirmed Defect"
.github/workflows/ci.yml,256,TODO,"Lexical Candidate, Not A Confirmed Defect"
.github/workflows/ci.yml,256,FIXME,"Lexical Candidate, Not A Confirmed Defect"
.github/workflows/ci.yml,1178,STUB,"Lexical Candidate, Not A Confirmed Defect"
.github/workflows/ci.yml,1187,STUB,"Lexical Candidate, Not A Confirmed Defect"
scripts/ci/check-definer-authorization.mjs,177,STUB,"Lexical Candidate, Not A Confirmed Defect"
scripts/ci/check-migrations-applied.mjs,124,STUB,"Lexical Candidate, Not A Confirmed Defect"
server/src/engine/eventlog/EventLog.ts,13,STUB,"Lexical Candidate, Not A Confirmed Defect"
server/src/engine/eventlog/EventLog.ts,119,STUB,"Lexical Candidate, Not A Confirmed Defect"
server/src/engine/eventlog/EventLog.ts,154,STUB,"Lexical Candidate, Not A Confirmed Defect"
src/components/modals/CompleteProfileModal.tsx,456,STUB,"Lexical Candidate, Not A Confirmed Defect"
src/content-engine/services/HorsePokerAdvanced.js,3,STUB,"Lexical Candidate, Not A Confirmed Defect"
src/content-engine/services/HorsePokerGTO.js,3,STUB,"Lexical Candidate, Not A Confirmed Defect"
src/content-engine/services/HorsePokerPersonality.js,3,STUB,"Lexical Candidate, Not A Confirmed Defect"
supabase/migrations/005_bbj_triple_bank.sql,282,TODO,"Lexical Candidate, Not A Confirmed Defect"
supabase/migrations/005_bbj_triple_bank.sql,327,TODO,"Lexical Candidate, Not A Confirmed Defect"
supabase/migrations/20260828082233_retire_the_two_dead_settlement_stubs.sql,21,STUB,"Lexical Candidate, Not A Confirmed Defect"
supabase/migrations/20260830090000_personal_assistant_phase_three_atomic_state.sql,1,STUB,"Lexical Candidate, Not A Confirmed Defect"
supabase/migrations/20260830100000_card_commerce_settlement_hardening.sql,1,STUB,"Lexical Candidate, Not A Confirmed Defect"
supabase/migrations/20260830120000_commerce_event_ordering_and_subscription_claims.sql,1,STUB,"Lexical Candidate, Not A Confirmed Defect"
supabase/migrations/20260830193000_verified_leak_drill_telemetry.sql,1,STUB,"Lexical Candidate, Not A Confirmed Defect"
supabase/migrations/20260830210000_pnm_phase10_directory_operations.sql,1,STUB,"Lexical Candidate, Not A Confirmed Defect"
supabase/migrations/20260830211500_pnm_phase10_duplicate_state_refresh.sql,1,STUB,"Lexical Candidate, Not A Confirmed Defect"
supabase/migrations/20260831093000_lock_leak_hand_examples_to_owner.sql,1,STUB,"Lexical Candidate, Not A Confirmed Defect"
supabase/migrations/20260831094000_version_private_club_arena_hand_facts.sql,1,STUB,"Lexical Candidate, Not A Confirmed Defect"
supabase/migrations/20260831095000_strict_personal_assistant_rate_limit.sql,1,STUB,"Lexical Candidate, Not A Confirmed Defect"
supabase/migrations/20260831141500_training_solver_provenance.sql,1,STUB,"Lexical Candidate, Not A Confirmed Defect"
supabase/migrations/20260901133348_the_agents_books_tell_the_truth.sql,21,STUB,"Lexical Candidate, Not A Confirmed Defect"
supabase/migrations/20260901133348_the_agents_books_tell_the_truth.sql,22,STUB,"Lexical Candidate, Not A Confirmed Defect"
supabase/migrations/20260901133348_the_agents_books_tell_the_truth.sql,872,STUB,"Lexical Candidate, Not A Confirmed Defect"
supabase/migrations/20260908045608_settling_nothing_needs_no_wallet_and_level_stats_stop_being_a_stub.sql,37,STUB,"Lexical Candidate, Not A Confirmed Defect"
tests/the-agents-books-tell-the-truth.law.test.ts,12,STUB,"Lexical Candidate, Not A Confirmed Defect"
tests/the-agents-books-tell-the-truth.law.test.ts,53,STUB,"Lexical Candidate, Not A Confirmed Defect"
