name,register,status
fn_backpay_unfinalised_bounty_pools,TIER 1 #3,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
ca-bounty-backpay-hourly,TIER 1 #3,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
fn_rake_repair_unbanked,TIER 1 #5,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
rake-repair-unbanked-hourly,TIER 1 #5,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
fn_redrive_unbanked_rake,TIER 1 #5,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
ca-redrive-unbanked-rake-15m,TIER 1 #5,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
fn_bbj_repair_unbanked,TIER 2,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
ca-bbj-repair-unbanked-15m,TIER 2,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
fn_spin_repair_missing_multiplier,TIER 1 #9,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
spin_repair_missing_multiplier,TIER 1 #9,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
fn_heal_seat_provenance,TIER 2,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
union-seat-provenance-heal,TIER 2,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
fn_ca_auto_reconcile_tick,TIER 2,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
ca-auto-reconcile-tick,TIER 2,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
fn_ca_quick_reconcile,TIER 2,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
ca-quick-reconcile-5m,TIER 2,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
fn_reconcile_tournament_denormals,TIER 2,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
reconcile-tournament-denormals,TIER 2,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
fn_reconcile_club_table_counts,TIER 2,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
reconcile-club-table-counts-nightly,TIER 2,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
reconcile-club-member-daily-profit,TIER 2,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
reconcile-ledger-integrity-6h,TIER 2,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
reconcile_ledger_nightly,TIER 2,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
fn_bbj_rollup_catchup,TIER 2,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
bbj-rollup-catchup,TIER 2,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
fn_club_rake_rollup_catchup,TIER 2,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
club-rake-rollup-catchup,TIER 2,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
fn_ca_ledger_day_manifest_backfill,TIER 2,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
fn_ca_retry_promo_accruals,TIER 2,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
ca-promo-accrual-retry-10m,TIER 2,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
fn_ca_escalate_reconcile_criticals,TIER 3,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
ca-escalate-reconcile-criticals-hourly,TIER 3,"Existing Recorded Debt; Verify Live Presence, Root Replacement And Retirement"
